[2025-02-01 18:40:20.585] [PopulationLogger] [info] Entrypoint| Population::Population
[2025-02-01 18:40:21.247] [PopulationLogger] [info] End| Population::Population
[2025-02-01 18:40:21.247] [PopulationLogger] [info] Entrypoint| Population::getPopulationSize
[2025-02-01 18:40:21.247] [PopulationLogger] [info] End| Population::getPopulationSize
[2025-02-01 18:40:21.247] [PopulationLogger] [info] Entrypoint| Population::Population
[2025-02-01 18:40:21.906] [PopulationLogger] [info] End| Population::Population
[2025-02-01 18:40:21.906] [PopulationLogger] [info] Entrypoint| Population::setMaxPopulationSize
[2025-02-01 18:40:21.906] [PopulationLogger] [info] Entrypoint| Population::shrinkPopulation
[2025-02-01 18:40:21.906] [PopulationLogger] [info] End| Population::shrinkPopulation
[2025-02-01 18:40:21.906] [PopulationLogger] [info] Entrypoint| Population::refreshPopulationSize
[2025-02-01 18:40:21.906] [PopulationLogger] [info] End| Population::refreshPopulationSize
[2025-02-01 18:40:21.906] [PopulationLogger] [info] End| Population::setMaxPopulationSize
[2025-02-01 18:40:21.906] [PopulationLogger] [info] Entrypoint| Population::getPopulationSize
[2025-02-01 18:40:21.906] [PopulationLogger] [info] End| Population::getPopulationSize
[2025-02-01 18:41:59.417] [PopulationLogger] [info] Entrypoint| Population::Population
[2025-02-01 18:42:00.037] [PopulationLogger] [info] End| Population::Population
[2025-02-01 18:42:00.037] [PopulationLogger] [info] Entrypoint| Population::getPopulationSize
[2025-02-01 18:42:00.037] [PopulationLogger] [info] End| Population::getPopulationSize
[2025-02-01 18:42:00.037] [PopulationLogger] [info] Entrypoint| Population::Population
[2025-02-01 18:42:00.682] [PopulationLogger] [info] End| Population::Population
[2025-02-01 18:42:06.285] [PopulationLogger] [info] Entrypoint| Population::setMaxPopulationSize
[2025-02-01 18:42:09.532] [PopulationLogger] [info] Entrypoint| Population::shrinkPopulation
[2025-02-01 18:42:09.532] [PopulationLogger] [info] End| Population::shrinkPopulation
[2025-02-01 18:42:09.532] [PopulationLogger] [info] Entrypoint| Population::refreshPopulationSize
[2025-02-01 18:42:09.532] [PopulationLogger] [info] End| Population::refreshPopulationSize
[2025-02-01 18:42:09.532] [PopulationLogger] [info] End| Population::setMaxPopulationSize
[2025-02-01 18:42:09.532] [PopulationLogger] [info] Entrypoint| Population::getPopulationSize
[2025-02-01 18:42:09.532] [PopulationLogger] [info] End| Population::getPopulationSize
[2025-02-01 18:47:53.684] [PopulationLogger] [info] Entrypoint| Population::Population
[2025-02-01 18:47:54.312] [PopulationLogger] [info] End| Population::Population
